"WELL_KEY","WELL_NAME","WELLHEAD_LATITUDE","WELLHEAD_LONGITUDE","SANDFACE_LATITUDE","SANDFACE_LONGITUDE","SANDFACE_DLS","SANDFACE_NTS","API_FM","COUNTRY","PROVINCE_STATE","FIELD_NAME","FIELD_CODE","POOL_NAME","POOL_CODE","FORMATION_NAME","FORMATION_CODE","COUNTY_PARRISH","AREA_NAME","NAD","KB_ELEVATION","GROUND_ELEVATION","CASING_FLANGE_ELEVATION","WELL_STATUS","ENTITY_NO","PRIMARY_FLUID","CURRENT_STATUS","STATUS_DATE","UNIT","UNIT_CODE","NUM_OF_FRACS","WELL_ALIAS","BASIN","BASIN_CODE","BATTERY","BATTERY_CODE","BOTTOM_PERFORATION_MD","BOTTOM_PERFORATION_TVD","DISTRICT","ENTITY_LOCATION","GAS_GATHERER","LATERAL_CODE","LATERAL_NAME","LICENSE_DATE","METER_NUMBER","OIL_CONDENSATE_GATHERER","ONSHORE_OFFSHORE","ORIGINAL_OPERATOR","ORIGINAL_OPERATOR_CODE","PLANT_CODE","PLANT_NAME","PLANT_TYPE","PLANT_TYPE_DESCRIPTION","PLUGBACK_DEPTH_MD","PLUGBACK_DEPTH_TVD","RIG_RELEASE_DATE","SPUD_DATE","TOP_PERFORATION_MD","TOP_PERFORATION_TVD","TOTAL_DEPTH_MD","TOTAL_DEPTH_TVD","WELL_TYPE","USER_SPECIFIED_CUSTOM_ATTR_1","USER_SPECIFIED_CUSTOM_ATTR_2","USER_SPECIFIED_CUSTOM_ATTR_N"
"50.0596.0010","TBU D 002ARD Middle Kenai G PA",60.8076500002473,-151.63267000022,60.8106789825491,-151.607201555108,NA,NA,"507332006902","USA","AK","McArthur River - 50.0596",NA,"652WFLD",NA,"None",NA,"Kenai Quad-Offshore","Cook Inlet Offshore - CIO",NA,106,NA,NA,"OIL",NA,"OIL",NA,NA,NA,NA,NA,"D 002ARD","Cook Inlet",1,"Dolly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNION OIL CO OF CA",NA,NA,NA,NA,NA,NA,NA,NA,"1975-07-23",NA,NA,11356,NA,NA,NA,NA,NA
"50.0596.0011","TBU G 006RD Hemlock PA",60.8397999998701,-151.612780000297,60.8356294676259,-151.590637403693,NA,NA,"507332007301","USA","AK","McArthur River - 50.0596",NA,"652WFLD",NA,"None",NA,"Kenai Quad-Offshore","Cook Inlet Offshore - CIO",NA,99,NA,NA,"OIL",NA,"OIL",NA,NA,NA,NA,NA,"G 006RD Hemlock PA","Cook Inlet",1,"Grayling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNION OIL CO OF CA",NA,NA,NA,NA,NA,NA,NA,NA,"1982-04-02",NA,NA,11000,NA,NA,NA,NA,NA
"50.0596.0012","TBU K 003RD2 Hemlock PA",60.8655399997712,-151.605849999977,60.8521276447751,-151.640305264177,NA,NA,"507332007402","USA","AK","McArthur River - 50.0596",NA,"652WFLD",NA,"None",NA,"Kenai Quad-Offshore","Cook Inlet Offshore - CIO",NA,122,NA,NA,"OIL",NA,"OIL",NA,NA,NA,NA,NA,"K 003RD2 Hemlock PA","Cook Inlet",1,"King",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,"2017-05-23",NA,NA,13448,NA,NA,NA,NA,NA
"50.0596.0013","TBU K 004RD Middle Kenai G PA",60.8652299998647,-151.605840000416,60.8509895473298,-151.601082073279,NA,NA,"507332007501","USA","AK","McArthur River - 50.0596",NA,"653HMCK",NA,"None",NA,"Kenai Quad-Offshore","Cook Inlet Offshore - CIO",NA,100,NA,NA,"INJECT",NA,"INJECT",NA,NA,NA,NA,NA,"K 004RD Middle Kenai G PA","Cook Inlet",1,"King",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNION OIL CO OF CA",NA,NA,NA,NA,NA,NA,NA,NA,"1974-06-14",NA,NA,11439,NA,NA,NA,NA,NA
"50.0596.0014","TBU G 008RDS Middle Kenai G PA",60.8397900003083,-151.612769999836,60.8278282131016,-151.590613904408,NA,NA,"507332008501","USA","AK","McArthur River - 50.0596",NA,"653HMCK",NA,"None",NA,"Kenai Quad-Offshore","Cook Inlet Offshore - CIO",NA,99,NA,NA,"OIL",NA,"OIL",NA,NA,NA,NA,NA,"G 008RDS Middle Kenai G PA","Cook Inlet",1,"Grayling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNION OIL CO OF CA",NA,NA,NA,NA,NA,NA,NA,NA,"1978-07-10",NA,NA,11750,NA,NA,NA,NA,NA
"50.0596.0015","TBU K 006RD2 Hemlock PA",60.8655599997942,-151.60587,60.8694701774068,-151.575136152012,NA,NA,"507332008802","USA","AK","McArthur River - 50.0596",NA,"653HMCK",NA,"None",NA,"Kenai Quad-Offshore","Cook Inlet Offshore - CIO",NA,122,NA,NA,"OIL",NA,"OIL",NA,NA,NA,NA,NA,"K 006RD2 Hemlock PA","Cook Inlet",1,"King",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,"2016-12-18",NA,NA,13322,NA,NA,NA,NA,NA
"50.0596.0016","TBU D 004RD Middle Kenai G PA",60.8076500002473,-151.632630000174,60.8054453761033,-151.600036318221,NA,NA,"507332008901","USA","AK","McArthur River - 50.0596",NA,"653HMCK",NA,"None",NA,"Kenai Quad-Offshore","Cook Inlet Offshore - CIO",NA,106,NA,NA,"OIL",NA,"OIL",NA,NA,NA,NA,NA,"D 004RD","Cook Inlet",1,"Dolly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNION OIL CO OF CA",NA,NA,NA,NA,NA,NA,NA,NA,"1982-05-20",NA,NA,12100,NA,NA,NA,NA,NA
"50.0596.0017","TBU D 003RD2 Middle Kenai G PA",60.807840000016,-151.633109999827,60.8170337225283,-151.615936996595,NA,NA,"507332009002","USA","AK","McArthur River - 50.0596",NA,"652WFLD",NA,"None",NA,"Kenai Quad-Offshore","Cook Inlet Offshore - CIO",NA,106,NA,NA,"OIL",NA,"OIL",NA,NA,NA,NA,NA,"D 003RD2","Cook Inlet",1,"Dolly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNION OIL CO OF CA",NA,NA,NA,NA,NA,NA,NA,NA,"1983-10-03",NA,NA,11055,NA,NA,NA,NA,NA
"50.0596.0018","TBU K 005 Hemlock PA Pre-HAK (DNU)",60.8652299998647,-151.605780000347,60.8482931666964,-151.57468879775,NA,NA,"507332009200","USA","AK","McArthur River - 50.0596",NA,"653HMCK",NA,"None",NA,"Kenai Quad-Offshore","Cook Inlet Offshore - CIO",NA,100,NA,NA,"OIL",NA,"OIL",NA,NA,NA,NA,NA,"K 005 Hemlock PA Pre-HAK (DNU)","Cook Inlet",1,"King",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNION OIL CO OF CA",NA,NA,NA,NA,NA,NA,NA,NA,"1968-03-24",NA,NA,13370,NA,NA,NA,NA,NA
"50.0596.0019","TBU G 010RD Hemlock PA",60.8396700001704,-151.61332999958,60.8372454000552,-151.615184573409,NA,NA,"507332009401","USA","AK","McArthur River - 50.0596",NA,"653HMCK",NA,"None",NA,"Kenai Quad-Offshore","Cook Inlet Offshore - CIO",NA,99,NA,NA,"PLUGOIL",NA,"PLUGOIL",NA,NA,NA,NA,NA,"G 010RD Hemlock PA","Cook Inlet",1,"Grayling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNION OIL CO OF CA",NA,NA,NA,NA,NA,NA,NA,NA,"1985-05-13",NA,NA,3949,NA,NA,NA,NA,NA
